X,Y,record_id,street_num,street_dir,street_name,street_type,date_status,description,owner_name,contractor_name,contractor_business_name,contractor_address,task,status,parcel_id,lon,lat,ObjectId
-83.127421,42.381918,DEM2019-01033,3778,,Monterey,,2019/03/01 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,SALENBIEN TRUCKING AND EXCAVATING,9217 N ANN ARBOR RD,Permit Issuance,Issued,14004411,-83.127421,42.381918,1
-83.111585,42.358516,DEM2019-01034,3778,,Northwestern,,2019/03/01 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,SALENBIEN TRUCKING AND EXCAVATING,9217 N ANN ARBOR RD,Permit Issuance,Issued,14002457,-83.111585,42.358516,2
-83.111701,42.358466,DEM2019-01035,3784, ,NORTHWESTERN, ,2019/03/01 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,SALENBIEN TRUCKING AND EXCAVATING,9217 N ANN ARBOR RD,Permit Issuance,Issued,14002456,-83.111701,42.358466,3
-83.0941,42.364624,DEM2019-01036,7433, ,DUNEDIN, ,2019/03/01 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,SALENBIEN TRUCKING AND EXCAVATING,9217 N ANN ARBOR RD,Permit Issuance,Issued,8009141,-83.0941,42.364624,4
-83.114883,42.372789,DEM2019-01037,9297, ,GENESSEE, ,2019/03/01 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,SALENBIEN TRUCKING AND EXCAVATING,9217 N ANN ARBOR RD,Permit Issuance,Issued,,-83.114883,42.372789,5
-82.987723,42.41271,DEM2019-01060,12291, ,GLENFIELD, ,2019/04/02 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,DORE & ASSOCIATES CONTRACTING,900 HARRY S TRUMAN PARKWAY,Permit Issuance,Issued,21010637,-82.987723,42.41271,6
-83.127317,42.358456,DEM2019-01061,5274, ,SPOKANE, ,2019/04/02 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,DORE & ASSOCIATES CONTRACTING,900 HARRY S TRUMAN PARKWAY,Permit Issuance,Issued,16003122,-83.127317,42.358456,7
-82.991347,42.403138,DEM2019-01079,11060, ,LONGVIEW, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21007633,-82.991347,42.403138,8
-82.994188,42.403315,DEM2019-01080,10944, ,CHELSEA, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008047,-82.994188,42.403315,9
-82.994529,42.404817,DEM2019-01081,11003, ,WILSHIRE, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008513,-82.994529,42.404817,10
